Rank,Subject,Status,Overall Quality Score,ERP Baseline SNR (dB)
1,sub-015,SELECTED,90.0,-5.746457282663282
2,sub-006,SELECTED,90.0,-7.1588635750479925
3,sub-010,SELECTED,90.0,-10.319203823752302
4,sub-012,SELECTED,90.0,-11.021999190501894
5,sub-007,SELECTED,90.0,-14.111449331562056
6,sub-003,SELECTED,90.0,-14.17035459022918
7,sub-002,SELECTED,80.0,-3.1281647862753665
8,sub-011,SELECTED,80.0,-4.606950443459595
9,sub-004,SELECTED,80.0,-5.607790397906982
10,sub-014,SELECTED,80.0,-7.375952150122092
11,sub-008,EXCLUDED,80.0,-9.113602240991392
12,sub-005,EXCLUDED,80.0,-10.614103887205012
13,sub-013,EXCLUDED,80.0,-12.658490928412897
14,sub-009,EXCLUDED,80.0,-19.333359010792304
